id,city,region_id,fed_id
1,Абаза,1,1
2,Абакан,1,1
3,Абдулино,2,2
4,Абинск,3,3
5,Агидель,4,2
6,Агрыз,5,2
7,Адыгейск,6,3
8,Азнакаево,5,2
9,Азов,7,3
10,Ак-Довурак,8,1
11,Аксай,7,3
12,Алагир,9,4
13,Алапаевск,10,5
14,Алатырь,11,2
15,Алдан,12,6
16,Алейск,13,1
17,Александров,14,7
18,Александровск,15,2
19,Александровск-Сахалинский,16,6
20,Алексеевка,17,7
21,Алексин,18,7
22,Алзамай,19,1
23,Алупка,20,3
24,Алушта,20,3
25,Альметьевск,5,2
26,Амурск,21,6
27,Анадырь,22,6
28,Анапа,3,3
29,Ангарск,19,1
30,Андреаполь,23,7
31,Анжеро-Судженск,24,1
32,Анива,16,6
33,Апатиты,25,8
34,Апрелевка,26,7
35,Апшеронск,3,3
36,Арамиль,10,5
37,Аргун,27,4
38,Ардатов,28,2
39,Ардон,9,4
40,Арзамас,29,2
41,Аркадак,30,2
42,Армавир,3,3
43,Армянск,20,3
44,Арсеньев,31,6
45,Арск,5,2
46,Артём,31,6
47,Артёмовск,32,1
48,Артёмовский,10,5
49,Архангельск,33,8
50,Асбест,10,5
51,Асино,34,1
52,Астрахань,35,3
53,Аткарск,30,2
54,Ахтубинск,35,3
55,Ачинск,32,1
56,Ачхой-Мартан,27,4
57,Аша,36,5
58,Бабаево,37,8
59,Бабушкин,38,1
60,Бавлы,5,2
61,Багратионовск,39,8
62,Байкальск,19,1
63,Баймак,4,2
64,Бакал,36,5
65,Баксан,40,4
66,Балабаново,41,7
67,Балаково,30,2
68,Балахна,29,2
69,Балашиха,26,7
70,Балашов,30,2
71,Балей,42,1
72,Балтийск,39,8
73,Барабинск,43,1
74,Барнаул,13,1
75,Барыш,44,2
76,Батайск,7,3
77,Бахчисарай,20,3
78,Бежецк,23,7
79,Белая Калитва,7,3
80,Белая Холуница,45,2
81,Белгород,17,7
82,Белебей,4,2
83,Белёв,18,7
84,Белинский,46,2
85,Белово,24,1
86,Белогорск,47,6
87,Белогорск,20,3
88,Белозерск,37,8
89,Белокуриха,13,1
90,Беломорск,48,8
91,Белоозёрский,26,7
92,Белорецк,4,2
93,Белореченск,3,3
94,Белоусово,41,7
95,Белоярский,49,5
96,Белый,23,7
97,Бердск,43,1
98,Березники,15,2
99,Берёзовский,24,1
100,Берёзовский,10,5
101,Беслан,9,4
102,Бийск,13,1
103,Бикин,21,6
104,Билибино,22,6
105,Биробиджан,50,6
106,Бирск,4,2
107,Бирюсинск,19,1
108,Бирюч,17,7
109,Благовещенск,4,2
110,Благовещенск,47,6
111,Благодарный,51,4
112,Бобров,52,7
113,Богданович,10,5
114,Богородицк,18,7
115,Богородск,29,2
116,Боготол,32,1
117,Богучар,52,7
118,Бодайбо,19,1
119,Бокситогорск,53,8
120,Болгар,5,2
121,Бологое,23,7
122,Болотное,43,1
123,Болохово,18,7
124,Болхов,54,7
125,Большой Камень,31,6
126,Бор,29,2
127,Борзя,42,1
128,Борисоглебск,52,7
129,Боровичи,55,8
130,Боровск,41,7
131,Бородино,32,1
132,Братск,19,1
133,Бронницы,26,7
134,Брянск,56,7
135,Бугры,53,8
136,Бугульма,5,2
137,Бугуруслан,2,2
138,Будённовск,51,4
139,Бузулук,2,2
140,Буинск,5,2
141,Буй,57,7
142,Буйнакск,58,4
143,Бутурлиновка,52,7
144,Валдай,55,8
145,Валуйки,17,7
146,Велиж,59,7
147,Великие Луки,60,8
148,Великий Новгород,55,8
149,Великий Устюг,37,8
150,Вельск,33,8
151,Венёв,18,7
152,Верещагино,15,2
153,Верея,26,7
154,Верхнеуральск,36,5
155,Верхний Тагил,10,5
156,Верхний Уфалей,36,5
157,Верхняя Пышма,10,5
158,Верхняя Салда,10,5
159,Верхняя Тура,10,5
160,Верхотурье,10,5
161,Верхоянск,12,6
162,Весьегонск,23,7
163,Ветлуга,29,2
164,Видное,26,7
165,Вилюйск,12,6
166,Вилючинск,61,6
167,Вихоревка,19,1
168,Вичуга,62,7
169,Владивосток,31,6
170,Владикавказ,9,4
171,Владимир,14,7
172,Волгоград,63,3
173,Волгодонск,7,3
174,Волгореченск,57,7
175,Волжск,64,2
176,Волжский,63,3
177,Вологда,37,8
178,Володарск,29,2
179,Волоколамск,26,7
180,Волосово,53,8
181,Волхов,53,8
182,Волчанск,10,5
183,Вольск,30,2
184,Воркута,65,8
185,Воронеж,52,7
186,Ворсма,29,2
187,Воскресенск,26,7
188,Воткинск,66,2
189,Всеволожск,53,8
190,Вуктыл,65,8
191,Выборг,53,8
192,Выкса,29,2
193,Высоковск,26,7
194,Высоцк,53,8
195,Вытегра,37,8
196,Вышний Волочёк,23,7
197,Вяземский,21,6
198,Вязники,14,7
199,Вязьма,59,7
200,Вятские Поляны,45,2
201,Гаврилов Посад,62,7
202,Гаврилов-Ям,67,7
203,Гагарин,59,7
204,Гаджиево,25,8
205,Гай,2,2
206,Галич,57,7
207,Гатчина,53,8
208,Гвардейск,39,8
209,Гдов,60,8
210,Геленджик,3,3
211,Георгиевск,51,4
212,Глазов,66,2
213,Голицыно,26,7
214,Горбатов,29,2
215,Горно-Алтайск,68,1
216,Горнозаводск,15,2
217,Горняк,13,1
218,Городец,29,2
219,Городище,46,2
220,Городовиковск,69,3
221,Гороховец,14,7
222,Горячий Ключ,3,3
223,Грайворон,17,7
224,Гремячинск,15,2
225,Грозный,27,4
226,Грязи,70,7
227,Грязовец,37,8
228,Губаха,15,2
229,Губкин,17,7
230,Губкинский,71,5
231,Гудермес,27,4
232,Гуково,7,3
233,Гулькевичи,3,3
234,Гурьевск,39,8
235,Гурьевск,24,1
236,Гусев,39,8
237,Гусиноозёрск,38,1
238,Гусь-Хрустальный,14,7
239,Давлеканово,4,2
240,Дагестанские Огни,58,4
241,Далматово,72,5
242,Дальнегорск,31,6
243,Дальнереченск,31,6
244,Данилов,67,7
245,Данков,70,7
246,Дегтярск,10,5
247,Дедовск,26,7
248,Демидов,59,7
249,Дербент,58,4
250,Десногорск,59,7
251,Джанкой,20,3
252,Дзержинск,29,2
253,Дзержинский,26,7
254,Дивногорск,32,1
255,Дигора,9,4
256,Димитровград,44,2
257,Дмитриев,73,7
258,Дмитров,26,7
259,Дмитровск,54,7
260,Дно,60,8
261,Добрянка,15,2
262,Долгопрудный,26,7
263,Долинск,16,6
264,Домодедово,26,7
265,Донецк,7,3
266,Донской,18,7
267,Дорогобуж,59,7
268,Дрезна,26,7
269,Дубна,26,7
270,Дубовка,63,3
271,Дудинка,32,1
272,Духовщина,59,7
273,Дюртюли,4,2
274,Дятьково,56,7
275,Евпатория,20,3
276,Егорьевск,26,7
277,Ейск,3,3
278,Екатеринбург,10,5
279,Елабуга,5,2
280,Елец,70,7
281,Елизово,61,6
282,Ельня,59,7
283,Еманжелинск,36,5
284,Емва,65,8
285,Енисейск,32,1
286,Ермолино,41,7
287,Ершов,30,2
288,Ессентуки,51,4
289,Ефремов,18,7
290,Железноводск,51,4
291,Железногорск,32,1
292,Железногорск,73,7
293,Железногорск-Илимский,19,1
294,Жердевка,74,7
295,Жигулёвск,75,2
296,Жиздра,41,7
297,Жирновск,63,3
298,Жуков,41,7
299,Жуковка,56,7
300,Жуковский,26,7
301,Завитинск,47,6
302,Заводоуковск,76,5
303,Заволжск,62,7
304,Заволжье,29,2
305,Задонск,70,7
306,Заинск,5,2
307,Закаменск,38,1
308,Заозёрный,32,1
309,Заозёрск,25,8
310,Западная Двина,23,7
311,Заполярный,25,8
312,Зарайск,26,7
313,Заречный,46,2
314,Заречный,10,5
315,Заринск,13,1
316,Звенигово,64,2
317,Звенигород,26,7
318,Зверево,7,3
319,Зеленогорск,32,1
320,Зеленоградск,39,8
321,Зеленодольск,5,2
322,Зеленокумск,51,4
323,Зерноград,7,3
324,Зея,47,6
325,Зима,19,1
326,Златоуст,36,5
327,Злынка,56,7
328,Змеиногорск,13,1
329,Знаменск,35,3
330,Зубцов,23,7
331,Зуевка,45,2
332,Ивангород,53,8
333,Иваново,62,7
334,Ивантеевка,26,7
335,Ивдель,10,5
336,Игарка,32,1
337,Ижевск,66,2
338,Избербаш,58,4
339,Изобильный,51,4
340,Иланский,32,1
341,Инза,44,2
342,Иннополис,5,2
343,Инсар,28,2
344,Инта,65,8
345,Ипатово,51,4
346,Ирбит,10,5
347,Иркутск,19,1
348,Исилькуль,77,1
349,Искитим,43,1
350,Истра,26,7
351,Ишим,76,5
352,Ишимбай,4,2
353,Йошкар-Ола,64,2
354,Кадников,37,8
355,Казань,5,2
356,Калач,52,7
357,Калач-на-Дону,63,3
358,Калачинск,77,1
359,Калининград,39,8
360,Калининск,30,2
361,Калтан,24,1
362,Калуга,41,7
363,Калязин,23,7
364,Камбарка,66,2
365,Каменка,46,2
366,Каменногорск,53,8
367,Каменск-Уральский,10,5
368,Каменск-Шахтинский,7,3
369,Камень-на-Оби,13,1
370,Камешково,14,7
371,Камызяк,35,3
372,Камышин,63,3
373,Камышлов,10,5
374,Канаш,11,2
375,Кандалакша,25,8
376,Канск,32,1
377,Карабаново,14,7
378,Карабаш,36,5
379,Карабулак,78,4
380,Карасук,43,1
381,Карачаевск,79,4
382,Карачев,56,7
383,Каргат,43,1
384,Каргополь,33,8
385,Карпинск,10,5
386,Карталы,36,5
387,Касимов,80,7
388,Касли,36,5
389,Каспийск,58,4
390,Катав-Ивановск,36,5
391,Катайск,72,5
392,Качканар,10,5
393,Кашин,23,7
394,Кашира,26,7
395,Кедровый,34,1
396,Кемерово,24,1
397,Кемь,48,8
398,Керчь,20,3
399,Кизел,15,2
400,Кизилюрт,58,4
401,Кизляр,58,4
402,Кимовск,18,7
403,Кимры,23,7
404,Кингисепп,53,8
405,Кинель,75,2
406,Кинешма,62,7
407,Киреевск,18,7
408,Киренск,19,1
409,Киржач,14,7
410,Кириллов,37,8
411,Кириши,53,8
412,Киров,41,7
413,Киров,45,2
414,Кировград,10,5
415,Кирово-Чепецк,45,2
416,Кировск,53,8
417,Кировск,25,8
418,Кирс,45,2
419,Кирсанов,74,7
420,Киселёвск,24,1
421,Кисловодск,51,4
422,Клин,26,7
423,Клинцы,56,7
424,Княгинино,29,2
425,Ковдор,25,8
426,Ковров,14,7
427,Ковылкино,28,2
428,Когалым,49,5
429,Кодинск,32,1
430,Козельск,41,7
431,Козловка,11,2
432,Козьмодемьянск,64,2
433,Кола,25,8
434,Кологрив,57,7
435,Коломна,26,7
436,Колпашево,34,1
437,Колтуши,53,8
438,Кольчугино,14,7
439,Коммунар,53,8
440,Комсомольск,62,7
441,Комсомольск-на-Амуре,21,6
442,Конаково,23,7
443,Кондопога,48,8
444,Кондрово,41,7
445,Константиновск,7,3
446,Копейск,36,5
447,Кораблино,80,7
448,Кореновск,3,3
449,Коркино,36,5
450,Королёв,26,7
451,Короча,17,7
452,Корсаков,16,6
453,Коряжма,33,8
454,Костерёво,14,7
455,Костомукша,48,8
456,Кострома,57,7
457,Котельники,26,7
458,Котельниково,63,3
459,Котельнич,45,2
460,Котлас,33,8
461,Котово,63,3
462,Котовск,74,7
463,Кохма,62,7
464,Красавино,37,8
465,Красноармейск,26,7
466,Красноармейск,30,2
467,Красновишерск,15,2
468,Красногорск,26,7
469,Краснодар,3,3
470,Краснозаводск,26,7
471,Краснознаменск,39,8
472,Краснознаменск,26,7
473,Краснокаменск,42,1
474,Краснокамск,15,2
475,Красноперекопск,20,3
476,Краснослободск,63,3
477,Краснослободск,28,2
478,Краснотурьинск,10,5
479,Красноуральск,10,5
480,Красноуфимск,10,5
481,Красноярск,32,1
482,Красный Кут,30,2
483,Красный Сулин,7,3
484,Красный Холм,23,7
485,Кремёнки,41,7
486,Кропоткин,3,3
487,Крымск,3,3
488,Кстово,29,2
489,Кубинка,26,7
490,Кувандык,2,2
491,Кувшиново,23,7
492,Кудрово,53,8
493,Кудымкар,15,2
494,Кузнецк,46,2
495,Куйбышев,43,1
496,Кукмор,5,2
497,Кулебаки,29,2
498,Кумертау,4,2
499,Кунгур,15,2
500,Купино,43,1
501,Курган,72,5
502,Курганинск,3,3
503,Курильск,16,6
504,Курлово,14,7
505,Куровское,26,7
506,Курск,73,7
507,Куртамыш,72,5
508,Курчалой,27,4
509,Курчатов,73,7
510,Куса,36,5
511,Кушва,10,5
512,Кызыл,8,1
513,Кыштым,36,5
514,Кяхта,38,1
515,Лабинск,3,3
516,Лабытнанги,71,5
517,Лагань,69,3
518,Ладушкин,39,8
519,Лаишево,5,2
520,Лакинск,14,7
521,Лангепас,49,5
522,Лахденпохья,48,8
523,Лебедянь,70,7
524,Лениногорск,5,2
525,Ленинск,63,3
526,Ленинск-Кузнецкий,24,1
527,Ленск,12,6
528,Лермонтов,51,4
529,Лесной,10,5
530,Лесозаводск,31,6
531,Лесосибирск,32,1
532,Ливны,54,7
533,Ликино-Дулёво,26,7
534,Липецк,70,7
535,Липки,18,7
536,Лиски,52,7
537,Лихославль,23,7
538,Лобня,26,7
539,Лодейное Поле,53,8
540,Лосино-Петровский,26,7
541,Луга,53,8
542,Луза,45,2
543,Лукоянов,29,2
544,Луховицы,26,7
545,Лысково,29,2
546,Лысьва,15,2
547,Лыткарино,26,7
548,Льгов,73,7
549,Любань,53,8
550,Люберцы,26,7
551,Любим,67,7
552,Людиново,41,7
553,Лянтор,49,5
554,Магадан,81,6
555,Магас,78,4
556,Магнитогорск,36,5
557,Майкоп,6,3
558,Майский,40,4
559,Макаров,16,6
560,Макарьев,57,7
561,Макушино,72,5
562,Малая Вишера,55,8
563,Малгобек,78,4
564,Малмыж,45,2
565,Малоархангельск,54,7
566,Малоярославец,41,7
567,Мамадыш,5,2
568,Мамоново,39,8
569,Мантурово,57,7
570,Мариинск,24,1
571,Мариинский Посад,11,2
572,Маркс,30,2
573,Махачкала,58,4
574,Мглин,56,7
575,Мегион,49,5
576,Медвежьегорск,48,8
577,Медногорск,2,2
578,Медынь,41,7
579,Межгорье,4,2
580,Междуреченск,24,1
581,Мезень,33,8
582,Меленки,14,7
583,Мелеуз,4,2
584,Менделеевск,5,2
585,Мензелинск,5,2
586,Мещовск,41,7
587,Миасс,36,5
588,Микунь,65,8
589,Миллерово,7,3
590,Минеральные Воды,51,4
591,Минусинск,32,1
592,Миньяр,36,5
593,Мирный,12,6
594,Мирный,33,8
595,Михайлов,80,7
596,Михайловка,63,3
597,Михайловск,10,5
598,Михайловск,51,4
599,Мичуринск,74,7
600,Могоча,42,1
601,Можайск,26,7
602,Можга,66,2
603,Моздок,9,4
604,Мончегорск,25,8
605,Морозовск,7,3
606,Моршанск,74,7
607,Мосальск,41,7
608,Москва,82,7
609,Муравленко,71,5
610,Мураши,45,2
611,Мурино,53,8
612,Мурманск,25,8
613,Муром,14,7
614,Мценск,54,7
615,Мыски,24,1
616,Мытищи,26,7
617,Мышкин,67,7
618,Набережные Челны,5,2
619,Навашино,29,2
620,Наволоки,62,7
621,Надым,71,5
622,Назарово,32,1
623,Назрань,78,4
624,Называевск,77,1
625,Нальчик,40,4
626,Нариманов,35,3
627,Наро-Фоминск,26,7
628,Нарткала,40,4
629,Нарьян-Мар,83,8
630,Наурская,27,4
631,Находка,31,6
632,Невель,60,8
633,Невельск,16,6
634,Невинномысск,51,4
635,Невьянск,10,5
636,Нелидово,23,7
637,Неман,39,8
638,Нерехта,57,7
639,Нерчинск,42,1
640,Нерюнгри,12,6
641,Нестеров,39,8
642,Нефтегорск,75,2
643,Нефтекамск,4,2
644,Нефтекумск,51,4
645,Нефтеюганск,49,5
646,Нея,57,7
647,Нижневартовск,49,5
648,Нижнекамск,5,2
649,Нижнеудинск,19,1
650,Нижние Серги,10,5
651,Нижний Ломов,46,2
652,Нижний Новгород,29,2
653,Нижний Тагил,10,5
654,Нижняя Салда,10,5
655,Нижняя Тура,10,5
656,Николаевск,63,3
657,Николаевск-на-Амуре,21,6
658,Никольск,37,8
659,Никольск,46,2
660,Никольское,53,8
661,Новая Ладога,53,8
662,Новая Ляля,10,5
663,Новоалександровск,51,4
664,Новоалтайск,13,1
665,Новоаннинский,63,3
666,Нововоронеж,52,7
667,Новодвинск,33,8
668,Новозыбков,56,7
669,Новокубанск,3,3
670,Новокузнецк,24,1
671,Новокуйбышевск,75,2
672,Новомичуринск,80,7
673,Новомосковск,18,7
674,Новопавловск,51,4
675,Новоржев,60,8
676,Новороссийск,3,3
677,Новосибирск,43,1
678,Новосиль,54,7
679,Новосокольники,60,8
680,Новотроицк,2,2
681,Новоузенск,30,2
682,Новоульяновск,44,2
683,Новоуральск,10,5
684,Новохопёрск,52,7
685,Новочебоксарск,11,2
686,Новочеркасск,7,3
687,Новошахтинск,7,3
688,Новый Оскол,17,7
689,Новый Уренгой,71,5
690,Ногинск,26,7
691,Нолинск,45,2
692,Норильск,32,1
693,Ноябрьск,71,5
694,Нурлат,5,2
695,Нытва,15,2
696,Нюрба,12,6
697,Нягань,49,5
698,Нязепетровск,36,5
699,Няндома,33,8
700,Облучье,50,6
701,Обнинск,41,7
702,Обоянь,73,7
703,Обь,43,1
704,Одинцово,26,7
705,Озёрск,39,8
706,Озёрск,36,5
707,Озёры,26,7
708,Ойсхара,27,4
709,Октябрьск,75,2
710,Октябрьский,4,2
711,Окуловка,55,8
712,Олёкминск,12,6
713,Оленегорск,25,8
714,Олонец,48,8
715,Омск,77,1
716,Омутнинск,45,2
717,Онега,33,8
718,Опочка,60,8
719,Орёл,54,7
720,Оренбург,2,2
721,Орехово-Зуево,26,7
722,Орлов,45,2
723,Орск,2,2
724,Оса,15,2
725,Осинники,24,1
726,Осташков,23,7
727,Остров,60,8
728,Островной,25,8
729,Острогожск,52,7
730,Отрадное,53,8
731,Отрадный,75,2
732,Оха,16,6
733,Оханск,15,2
734,Очёр,15,2
735,Павлово,29,2
736,Павловск,52,7
737,Павловский Посад,26,7
738,Палласовка,63,3
739,Партизанск,31,6
740,Певек,22,6
741,Пенза,46,2
742,Первомайск,29,2
743,Первоуральск,10,5
744,Перевоз,29,2
745,Пересвет,26,7
746,Переславль-Залесский,67,7
747,Пермь,15,2
748,Пестово,55,8
749,Петров Вал,63,3
750,Петровск,30,2
751,Петровск-Забайкальский,42,1
752,Петрозаводск,48,8
753,Петропавловск-Камчатский,61,6
754,Петухово,72,5
755,Петушки,14,7
756,Печора,65,8
757,Печоры,60,8
