id,region,fed_id,i_active
1,Хакасия,1,false
2,Оренбургская область,2,false
3,Краснодарский край,3,false
4,Башкортостан,2,false
5,Татарстан,2,false
6,Адыгея,3,false
7,Ростовская область,3,false
8,Тыва,1,false
9,Северная Осетия,4,false
10,Свердловская область,5,false
11,Чувашия,2,false
12,Якутия,6,false
13,Алтайский край,1,false
14,Владимирская область,7,false
15,Пермский край,2,false
16,Сахалинская область,6,false
17,Белгородская область,7,false
18,Тульская область,7,false
19,Иркутская область,1,false
20,Крым,3,true
21,Хабаровский край,6,false
22,Чукотский АО,6,false
23,Тверская область,7,false
24,Кемеровская область,1,false
25,Мурманская область,8,false
26,Московская область,7,false
27,Чечня,4,false
28,Мордовия,2,false
29,Нижегородская область,2,false
30,Саратовская область,2,false
31,Приморский край,6,false
32,Красноярский край,1,false
33,Архангельская область,8,false
34,Томская область,1,false
35,Астраханская область,3,false
36,Челябинская область,5,false
37,Вологодская область,8,false
38,Бурятия,1,false
39,Калининградская область,8,false
40,Кабардино-Балкария,4,false
41,Калужская область,7,false
42,Забайкальский край,1,false
43,Новосибирская область,1,false
44,Ульяновская область,2,false
45,Кировская область,2,false
46,Пензенская область,2,false
47,Амурская область,6,false
48,Карелия,8,false
49,Ханты-Мансийский АО,5,false
50,Еврейская АО,6,false
51,Ставропольский край,4,false
52,Воронежская область,7,false
53,Ленинградская область,8,false
54,Орловская область,7,false
55,Новгородская область,8,false
56,Брянская область,7,false
57,Костромская область,7,false
58,Дагестан,4,false
59,Смоленская область,7,false
60,Псковская область,8,false
61,Камчатский край,6,false
62,Ивановская область,7,false
63,Волгоградская область,3,false
64,Марий Эл,2,false
65,Коми,8,false
66,Удмуртия,2,false
67,Ярославская область,7,false
68,Алтай,1,false
69,Калмыкия,3,false
70,Липецкая область,7,false
71,Ямало-Ненецкий АО,5,false
72,Курганская область,5,false
73,Курская область,7,false
74,Тамбовская область,7,false
75,Самарская область,2,false
76,Тюменская область,5,false
77,Омская область,1,false
78,Ингушетия,4,false
79,Карачаево-Черкесия,4,false
80,Рязанская область,7,false
81,Магаданская область,6,false
82,Москва,7,false
83,Ненецкий АО,8,false
84,Санкт-Петербург,8,false
85,Севастополь,3,false
